agent;timestep;position;direction;status;given_command
1;39;None;w;waiting;wait
0;40;(21, 29);n;moving;move_forward
1;40;None;w;waiting;wait
0;41;(20, 29);n;moving;move_forward
1;41;None;w;waiting;wait
0;42;(19, 29);n;moving;move_forward
1;42;None;w;waiting;wait
0;43;(18, 29);n;moving;move_forward
1;43;None;w;waiting;wait
0;44;(17, 29);n;moving;move_forward
1;44;None;w;waiting;wait
0;45;(16, 29);n;moving;move_forward
1;45;None;w;waiting;wait
0;46;(15, 29);n;moving;move_forward
1;46;None;w;waiting;wait
0;47;(14, 29);n;moving;move_forward
1;47;None;w;waiting;wait
0;48;(13, 29);n;moving;move_forward
1;48;None;w;waiting;wait
0;49;(12, 29);n;moving;move_forward
1;49;None;w;waiting;wait
0;50;(12, 28);w;moving;move_left
1;50;None;w;waiting;wait
0;51;(11, 28);n;moving;move_right
1;51;None;w;waiting;wait
0;52;(10, 28);n;moving;move_forward
1;52;None;w;waiting;wait
0;53;(9, 28);n;moving;move_forward
1;53;None;w;waiting;wait
0;54;(8, 28);n;moving;move_forward
1;54;None;w;waiting;wait
0;55;(7, 28);n;moving;move_forward
1;55;None;w;waiting;wait
0;56;(6, 28);n;moving;move_forward
1;56;None;w;waiting;wait
0;57;(5, 28);n;moving;move_forward
1;57;None;w;waiting;wait
0;58;(4, 28);n;moving;move_forward
1;58;None;w;waiting;wait
0;59;(3, 28);n;moving;move_forward
1;59;None;w;waiting;wait
0;60;(3, 27);w;moving;move_forward
1;60;None;w;waiting;wait
0;61;(3, 26);w;moving;move_forward
1;61;None;w;waiting;wait
0;62;(3, 25);w;moving;move_forward
1;62;None;w;waiting;wait
0;63;(3, 24);w;moving;move_forward
1;63;None;w;waiting;wait
0;64;(3, 23);w;moving;move_forward
1;64;None;w;ready to depart;wait
0;65;(3, 22);w;moving;move_forward
1;65;(11, 34);w;moving;move_forward
0;66;(3, 21);w;moving;move_forward
1;66;(11, 33);w;moving;move_forward
0;67;(3, 20);w;moving;move_forward
1;67;(12, 33);s;moving;move_forward
0;68;(3, 19);w;moving;move_forward
1;68;(12, 32);w;moving;move_forward
0;69;(3, 18);w;moving;move_forward
1;69;(12, 31);w;moving;move_forward
0;70;(3, 17);w;moving;move_forward
1;70;(12, 30);w;moving;move_forward
0;71;(3, 16);w;moving;move_forward
1;71;(12, 29);w;moving;move_forward
0;72;(3, 15);w;moving;move_forward
1;72;(12, 28);w;moving;move_forward
0;73;(3, 14);w;moving;move_forward
1;73;(11, 28);n;moving;move_right
0;74;(3, 13);w;moving;move_forward
1;74;(10, 28);n;moving;move_forward
0;75;(2, 13);n;moving;move_forward
1;75;(9, 28);n;moving;move_forward
0;76;(2, 12);w;moving;move_forward
1;76;(8, 28);n;moving;move_forward
0;77;(2, 11);w;moving;move_forward
1;77;(7, 28);n;moving;move_forward
0;78;(2, 10);w;moving;move_forward
1;78;(6, 28);n;moving;move_forward
0;79;(2, 9);w;moving;move_forward
1;79;(5, 28);n;moving;move_forward
0;80;(3, 9);s;moving;move_left
1;80;(4, 28);n;moving;move_forward
0;81;(4, 9);s;moving;move_forward
1;81;(3, 28);n;moving;move_forward
0;82;(5, 9);s;moving;move_forward
1;82;(3, 27);w;moving;move_forward
0;83;(6, 9);s;moving;move_forward
1;83;(3, 26);w;moving;move_forward
0;84;(7, 9);s;moving;move_forward
1;84;(3, 25);w;moving;move_forward
0;85;(8, 9);s;moving;move_forward
1;85;(3, 24);w;moving;move_forward
0;86;(9, 9);s;moving;move_forward
1;86;(3, 23);w;moving;move_forward
0;87;(10, 9);s;moving;move_forward
1;87;(3, 22);w;moving;move_forward
0;88;(11, 9);s;moving;move_forward
1;88;(3, 21);w;moving;move_forward
0;89;(12, 9);s;moving;move_forward
1;89;(3, 20);w;moving;move_forward
0;90;(12, 10);e;moving;move_left
1;90;(3, 19);w;moving;move_forward
0;91;(12, 11);e;moving;move_forward
1;91;(3, 18);w;moving;move_forward
0;92;(12, 12);e;moving;move_forward
1;92;(3, 17);w;moving;move_forward
0;93;(12, 13);e;moving;move_forward
1;93;(3, 16);w;moving;move_forward
0;94;(12, 14);e;moving;move_forward
1;94;(3, 15);w;moving;move_forward
0;95;(12, 15);e;moving;move_forward
1;95;(3, 14);w;moving;move_forward
0;96;(12, 16);e;moving;move_forward
1;96;(3, 13);w;moving;move_forward
0;97;(12, 17);e;moving;move_forward
1;97;(2, 13);n;moving;move_forward
0;98;(12, 18);e;moving;move_forward
1;98;(2, 12);w;moving;move_forward
0;99;(12, 19);e;moving;move_forward
1;99;(2, 11);w;moving;move_forward
0;100;(12, 20);e;moving;move_forward
1;100;(2, 10);w;moving;move_forward
0;101;(12, 21);e;moving;move_forward
1;101;(2, 9);w;moving;move_forward
0;102;(12, 22);e;moving;move_forward
1;102;(3, 9);s;moving;move_left
0;103;(12, 23);e;moving;move_forward
1;103;(4, 9);s;moving;move_forward
0;104;(12, 24);e;moving;move_forward
1;104;(5, 9);s;moving;move_forward
0;105;(12, 25);e;moving;move_forward
1;105;(6, 9);s;moving;move_forward
0;106;(12, 26);e;moving;move_forward
1;106;(7, 9);s;moving;move_forward
0;107;(12, 27);e;moving;move_forward
1;107;(8, 9);s;moving;move_forward
0;108;(12, 28);e;moving;move_forward
1;108;(9, 9);s;moving;move_forward
0;109;(12, 29);e;moving;move_forward
1;109;(10, 9);s;moving;move_forward
0;110;(12, 30);e;moving;move_forward
1;110;(10, 8);w;moving;move_right
0;111;(12, 31);e;moving;move_forward
1;111;(11, 8);s;moving;move_forward
0;112;(13, 31);s;moving;move_right
1;112;(12, 8);s;moving;move_forward
0;113;(13, 32);e;moving;move_forward
1;113;(12, 7);w;moving;move_right
0;114;(13, 33);e;moving;move_forward
1;114;(12, 6);w;moving;move_forward
0;115;(14, 33);s;moving;move_right
1;115;(13, 6);s;moving;move_forward
0;116;None;e;done;move_forward
1;116;(14, 6);s;moving;move_forward
1;117;(15, 6);s;moving;move_forward
1;118;(16, 6);s;moving;move_forward
1;119;(17, 6);s;moving;move_forward
1;120;(18, 6);s;moving;move_forward
1;121;(18, 7);e;moving;move_left
1;122;(19, 7);s;moving;move_forward
1;123;(20, 7);s;moving;move_forward
1;124;(20, 8);e;moving;move_left
1;125;None;s;done;move_forward
